	Channel    Elow      Ehigh
        chan		(keV)      (keV)

1 0   0.0000   0.0100
2 1   0.0100   0.0200
3 2   0.0200   0.0300
4 3   0.0300   0.0400
5 4   0.0400   0.0500
6 5   0.0500   0.0600
7 6   0.0600   0.0700
8 7   0.0700   0.0800
9 8   0.0800   0.0900
10 9   0.0900   0.1000
11 10   0.1000   0.1100
12 11   0.1100   0.1200
13 12   0.1200   0.1300
14 13   0.1300   0.1400
15 14   0.1400   0.1500
16 15   0.1500   0.1600
17 16   0.1600   0.1700
18 17   0.1700   0.1800
19 18   0.1800   0.1900
20 19   0.1900   0.2000
21 20   0.2000   0.2100
22 21   0.2100   0.2200
23 22   0.2200   0.2300
24 23   0.2300   0.2400
25 24   0.2400   0.2500
26 25   0.2500   0.2600
27 26   0.2600   0.2700
28 27   0.2700   0.2800
29 28   0.2800   0.2900
30 29   0.2900   0.3000
31 30   0.3000   0.3100
32 31   0.3100   0.3200
33 32   0.3200   0.3300
34 33   0.3300   0.3400
35 34   0.3400   0.3500
36 35   0.3500   0.3600
37 36   0.3600   0.3700
38 37   0.3700   0.3800
39 38   0.3800   0.3900
40 39   0.3900   0.4000
41 40   0.4000   0.4100
42 41   0.4100   0.4200
43 42   0.4200   0.4300
44 43   0.4300   0.4400
45 44   0.4400   0.4500
46 45   0.4500   0.4600
47 46   0.4600   0.4700
48 47   0.4700   0.4800
49 48   0.4800   0.4900
50 49   0.4900   0.5000
51 50   0.5000   0.5100
52 51   0.5100   0.5200
53 52   0.5200   0.5300
54 53   0.5300   0.5400
55 54   0.5400   0.5500
56 55   0.5500   0.5600
57 56   0.5600   0.5700
58 57   0.5700   0.5800
59 58   0.5800   0.5900
60 59   0.5900   0.6000
61 60   0.6000   0.6100
62 61   0.6100   0.6200
63 62   0.6200   0.6300
64 63   0.6300   0.6400
65 64   0.6400   0.6500
66 65   0.6500   0.6600
67 66   0.6600   0.6700
68 67   0.6700   0.6800
69 68   0.6800   0.6900
70 69   0.6900   0.7000
71 70   0.7000   0.7100
72 71   0.7100   0.7200
73 72   0.7200   0.7300
74 73   0.7300   0.7400
75 74   0.7400   0.7500
76 75   0.7500   0.7600
77 76   0.7600   0.7700
78 77   0.7700   0.7800
79 78   0.7800   0.7900
80 79   0.7900   0.8000
81 80   0.8000   0.8100
82 81   0.8100   0.8200
83 82   0.8200   0.8300
84 83   0.8300   0.8400
85 84   0.8400   0.8500
86 85   0.8500   0.8600
87 86   0.8600   0.8700
88 87   0.8700   0.8800
89 88   0.8800   0.8900
90 89   0.8900   0.9000
91 90   0.9000   0.9100
92 91   0.9100   0.9200
93 92   0.9200   0.9300
94 93   0.9300   0.9400
95 94   0.9400   0.9500
96 95   0.9500   0.9600
97 96   0.9600   0.9700
98 97   0.9700   0.9800
99 98   0.9800   0.9900
100 99   0.9900   1.0000
101 100   1.0000   1.0100
102 101   1.0100   1.0200
103 102   1.0200   1.0300
104 103   1.0300   1.0400
105 104   1.0400   1.0500
106 105   1.0500   1.0600
107 106   1.0600   1.0700
